"Are you sure you want to uninstall the EffectConnect Marketplaces module?","Weet je zeker dat je de EffectConnect Marketplaces module wil deïnstalleren?"
"Connections","Connecties"
"Active","Actief"
"Shop","Winkel"
"Name","Naam"
"Public key","Publieke sleutel"
"Only import internal orders","Alleen interne orders importeren"
"Only import orders that are fulfilled externally","Alleen orders importeren met logistiek door marketplace"
"Import both internal orders and orders that are fulfilled externally","Zowel interne orders als orders met logistiek door marketplace importeren"
"Export product (without its EAN)","Product(en) exporteren (zonder EAN)"
"Skip export of product","Product(en) niet exporteren"
"No export and import processes will run for inactive connections.","Er zullen geen imports en exports draaien voor connecties die niet actief zijn."
"Select the shop you want the catalog to export for. All languages within the shop are automatically exported.","Selecteer de winkel waarvan de catalogus geëxporteerd moet worden. Alle talen binnen de geselecteerde winkel gaan automatisch mee."
"Used for internal reference only.","Enkel voor interne refentie."
"Find your public key in the API Key Management section in EffectConnect Marketplaces.","Vind je publieke sleutel in de API Sleutel Beheer sectie in EffectConnect Marketplaces."
"Secret key","Geheime sleutel"
"Find your secret key in the API Key Management section in EffectConnect Marketplaces.","Vind je geheime sleutel in de API Sleutel Beheer sectie in EffectConnect Marketplaces."
"EffectConnect - Marketplaces","EffectConnect - Marketplaces"
"EffectConnect Marketplaces Prestashop plugin","EffectConnect Marketplaces Prestashop plugin"
"ID","ID"
"Only export active products","Alleen actieve producten exporteren"
"If this setting is enabled only products that are enabled will be exported to EffectConnect.","Als deze instelling aan staat, zullen alleen producten die op actief staan worden geëxporteerd naar EffectConnect."
"Use special price","Kortingsprijs gebruiken"
"If enabled the special price and the original price will be exported to EffectConnect Marketplaces. If disabled only the original price will be exported.","Als deze instelling aan staat, zullen zowel de originele prijs als de kortingsprijs naar EffectConnect Marketplaces worden geëxporteerd. En anders wordt alleen de originele prijs geëxporteerd."
"Add product combinations to product title","Productcombinaties toevoegen aan producttitel"
"Will add a summary of product combinations to the product title. For example: ""Hummingbird printed t-shirt (Size - S, Color - White)"". ","Voegt een samenvatting van productcombinaties toe aan de producttitel. Voorbeeld: ""Kolibrie T-shirt (Maat - S, Kleur - Wit)""."
"Add leading zero to EAN","Voorloopnul toevoegen aan EAN"
"Select whether the plugin should automatically add a leading zero to an EAN that consists of 12 characters. Products with invalid EAN will be exported without EAN field.","Selecteer of een EAN waarde die uit 12 tekens bestaat aangevuld moet worden met een voorloopnul."
"When EAN invalid","Bij ongeldig EAN"
"EffectConnect only supports products with a valid EAN or products without an EAN. Multiple products with the same EAN will only be exported once.","EffectConnect ondersteunt alleen producten met een geldige EAN of producten zonder EAN."
"Customer group","Klantgroep"
"For example you can use a specific customer group to be able to select a carrier that is only used for importing orders.","De klantgroep waarin de klant wordt gezet bij het importeren van orders. Dit kan bijvoorbeeld gebruikt worden om een verzendmethode te kiezen die alleen voor EffectConnect orders kan worden gebruikt."
"Shipping method","Verzendmethode"
"The shipment method for each imported order.","De verzendmethode voor elke geïmporteerde order."
"Payment method","Betaalmethode"
"The payment method for each imported order.","De betaalmethode voor elke geïmporteerde order."
"External fulfilment","Logistiek door marketplace"
"Whether to import orders that are externally fulfilled or not. Internally fulfilled orders have status paid in EffectConnect. Externally fulfilled orders have status completed and tag external_fulfilled.","Selecteer welke orders mogen worden geïmporteerd. Interne orders hebben status 'betaald' in EffectConnect. Orders met logistiek door marketplace hebben status 'afgerond' en een tag 'external_fulfilled'."
"Send emails","E-mails verzenden"
"Whether or not to let Prestashop send order update emails to the customer for each imported order.","Selecteer of Prestashop ordermails mag versturen naar klanten bij het importeren van orders."
"Logs","Logbestanden"
"Connection successful created.","Connectie met succes aangemaakt."
"Add connection","Connectie toevoegen"
"Connection successful updated.","Connectie met succes bijgewerkt."
"Edit connection","Connectie bewerken"
"The connection has been successfully updated.","Connectie met succes bijgewerkt."
"Connection successfully deleted","Connectie met succes verwijderd."
"Connection delete failed","Connectie kon niet worden verwijderd."
"Internal error: recordId is invalid","Interne fout: recordId is ongeldig"
"Add new connection","Connectie toevoegen"
"Please select 'All shops' in the shop context to edit connections.","Kies 'Alle winkels' in het PrestaShop winkel context menu om connecties te kunnen aanmaken en bewerken."
"Connection details","Connectie details"
"Catalog export","Productcatalogus export"
"Order import","Order import"
"EffectConnect Marketplaces","EffectConnect Marketplaces"
"Connection","Connectie"
"Order number","Ordernummer"
"Channel number","Kanaalnummer"
"Is shipped","Is verzonden"
"Shipping status exported","Verzendstatus geëxporteerd"
"No","Nee"
"Carrier","Vervoerder"
"Tracking number","Tracking nummer"
"Tracking info exported","Tracking info geëxporteerd"
"Log details","Log details"
"The Effectconnect Markplaces plugin generates log and export files in the following folder:","De Effectconnect Markplaces plugin genereert log- en exportbestanden in deze map:"
"These files can be used by the Effectconnect support team to inspect errors. Use the download button below.","Deze bestanden kunnen door het Effectconnect support team worden gebruikt om fouten op te sporen. Gebruik de download knop onderaan om de bestanden te downloaden."
"The files are cleaned after %s days.","Bestanden ouder dan %s dagen zullen automatisch worden opgeruimd."
"Download logs","Download logbestanden"
"Actions","Acties"
"Make sure the carrier is available for the selected customer group.","Zorg ervoor dat de vervoerder beschikbaar is voor de geselecteerde klantgroep."
"Make sure the payment method is available for selected customer group and the selected carrier.","Zorg ervoor dat de betaalmethode beschikbaar is voor de geselecteerde klantgroep en de geselecteerde vervoerder."
